exp,Fecha,variable,value
0,2020-03-06,Actual,0.0
0,2020-03-07,Actual,0.3363636363636364
0,2020-03-08,Actual,0.4632352941176471
0,2020-03-09,Actual,0.5408805031446541
0,2020-03-10,Actual,0.5755813953488372
0,2020-03-11,Actual,0.6237113402061856
0,2020-03-12,Actual,0.6540284360189573
0,2020-03-13,Actual,0.708
0,2020-03-14,Actual,0.7420494699646644
0,2020-03-15,Actual,0.7753846153846153
0,2020-03-16,Actual,0.7920227920227919
0,2020-03-17,Actual,0.8048128342245989
0,2020-03-18,Actual,0.8151898734177215
0,2020-03-19,Actual,0.8274231678486997
0,2020-03-20,Actual,0.5133689839572193
0,2020-03-21,Actual,0.5461346633416458
0,2020-03-22,Actual,0.5717647058823531
0,2020-03-23,Actual,0.6102783725910065
0,2020-03-24,Actual,0.6152219873150105
0,2020-03-25,Actual,0.55863539445629
0,2020-03-26,Actual,0.503370786516854
0,2020-03-27,Actual,0.4910313901345291
0,2020-03-28,Actual,0.4627539503386005
0,2020-03-29,Actual,0.4533029612756264
0,2020-03-30,Actual,0.4722222222222222
0,2020-03-31,Actual,0.4639423076923077
0,2020-04-01,Actual,0.43734643734643736
0,2020-04-02,Actual,0.4032258064516129
0,2020-04-03,Actual,0.39226519337016574
0,2020-04-04,Actual,0.3881019830028329
0,2020-04-05,Actual,0.4265536723163842
0,2020-04-06,Actual,0.4632768361581921
0,2020-04-07,Actual,0.4899713467048711
0,2020-04-08,Actual,0.5059880239520959
0,2020-04-09,Actual,0.5076452599388379
0,2020-04-10,Actual,0.4983050847457627
0,2020-04-11,Actual,0.4878048780487805
0,2020-04-12,Actual,0.5135135135135135
0,2020-04-13,Actual,0.5117056856187291
0,2020-04-14,Actual,0.5313531353135313
0,2020-04-15,Actual,0.4727891156462585
0,2020-04-16,Actual,0.4769736842105263
0,2020-04-17,Actual,0.4633333333333333
0,2020-04-18,Actual,0.4682274247491639
0,2020-04-19,Actual,0.5114006514657979
0,2020-04-20,Actual,0.5080906148867314
0,2020-04-21,Actual,0.5209003215434084
0,2020-04-22,Actual,0.5362776025236593
0,2020-04-23,Actual,0.5145631067961165
0,2020-04-24,Actual,0.5065359477124183
0,2020-04-25,Actual,0.5016611295681063
0,2020-04-26,Actual,0.5183946488294314
0,2020-04-27,Actual,0.5309446254071661
0,2020-04-28,Actual,0.55625
0,2020-04-29,Actual,0.5795795795795796
0,2020-04-30,Actual,0.5783132530120482
0,2020-05-01,Actual,0.5658682634730539
0,2020-05-02,Actual,0.5718654434250765
0,2020-05-03,Actual,0.5595238095238095
0,2020-05-04,Actual,0.5409356725146199
0,2020-05-05,Actual,0.5056497175141242
0,2020-05-06,Actual,0.5344352617079889
0,2020-05-07,Actual,0.5525606469002695
0,2020-05-08,Actual,0.5626666666666666
0,2020-05-09,Actual,0.55858310626703
0,2020-05-10,Actual,0.5515320334261838
0,2020-05-11,Actual,0.5525606469002695
0,2020-05-12,Actual,0.5634920634920635
0,2020-05-13,Actual,0.5523560209424084
0,2020-05-14,Actual,0.5646766169154229
0,2020-05-15,Actual,0.5450121654501217
0,2020-05-16,Actual,0.5433673469387755
0,2020-05-17,Actual,0.5610972568578554
0,2020-05-18,Actual,0.5658536585365853
0,2020-05-19,Actual,0.5741626794258373
0,2020-05-20,Actual,0.5518867924528302
0,2020-05-21,Actual,0.5463182897862233
0,2020-05-22,Actual,0.5576036866359447
0,2020-05-23,Actual,0.5362997658079626
0,2020-05-24,Actual,0.5097087378640777
0,2020-05-25,Actual,0.5153664302600472
0,2020-05-26,Actual,0.5194508009153318
0,2020-05-27,Actual,0.5237020316027088
0,2020-05-28,Actual,0.5418502202643172
0,2020-05-29,Actual,0.5299334811529933
