exp,Fecha,variable,value
0,2020-03-06,Apertura 30%,0.0
0,2020-03-07,Apertura 30%,0.0
0,2020-03-08,Apertura 30%,0.0
0,2020-03-09,Apertura 30%,0.0
0,2020-03-10,Apertura 30%,0.0
0,2020-03-11,Apertura 30%,0.0
0,2020-03-12,Apertura 30%,0.0
0,2020-03-13,Apertura 30%,0.0
0,2020-03-14,Apertura 30%,0.0
0,2020-03-15,Apertura 30%,0.0
0,2020-03-16,Apertura 30%,0.0
0,2020-03-17,Apertura 30%,0.0
0,2020-03-18,Apertura 30%,0.0
0,2020-03-19,Apertura 30%,0.0
0,2020-03-20,Apertura 30%,0.0
0,2020-03-21,Apertura 30%,0.0
0,2020-03-22,Apertura 30%,0.0
0,2020-03-23,Apertura 30%,0.0
0,2020-03-24,Apertura 30%,0.0
0,2020-03-25,Apertura 30%,0.0
0,2020-03-26,Apertura 30%,0.0
0,2020-03-27,Apertura 30%,0.0
0,2020-03-28,Apertura 30%,0.0
0,2020-03-29,Apertura 30%,0.0
0,2020-03-30,Apertura 30%,0.0
0,2020-03-31,Apertura 30%,0.0
0,2020-04-01,Apertura 30%,0.0
0,2020-04-02,Apertura 30%,0.0
0,2020-04-03,Apertura 30%,0.0
0,2020-04-04,Apertura 30%,0.0
0,2020-04-05,Apertura 30%,0.0
0,2020-04-06,Apertura 30%,0.0
0,2020-04-07,Apertura 30%,0.0
0,2020-04-08,Apertura 30%,0.0
0,2020-04-09,Apertura 30%,0.0
0,2020-04-10,Apertura 30%,0.0
0,2020-04-11,Apertura 30%,0.0
0,2020-04-12,Apertura 30%,2.6751558278269708e-05
0,2020-04-13,Apertura 30%,2.6751558278269708e-05
0,2020-04-14,Apertura 30%,2.6751558278269708e-05
0,2020-04-15,Apertura 30%,2.6751558278269708e-05
0,2020-04-16,Apertura 30%,2.6751558278269708e-05
0,2020-04-17,Apertura 30%,2.6751558278269708e-05
0,2020-04-18,Apertura 30%,2.6751558278269708e-05
0,2020-04-19,Apertura 30%,2.6751558278269708e-05
0,2020-04-20,Apertura 30%,2.6751558278269708e-05
0,2020-04-21,Apertura 30%,2.6751558278269708e-05
0,2020-04-22,Apertura 30%,2.6751558278269708e-05
0,2020-04-23,Apertura 30%,2.6751558278269708e-05
0,2020-04-24,Apertura 30%,2.6751558278269708e-05
0,2020-04-25,Apertura 30%,2.6751558278269708e-05
0,2020-04-26,Apertura 30%,2.6751558278269708e-05
0,2020-04-27,Apertura 30%,2.6751558278269708e-05
0,2020-04-28,Apertura 30%,2.6751558278269708e-05
0,2020-04-29,Apertura 30%,2.6751558278269708e-05
0,2020-04-30,Apertura 30%,2.6751558278269708e-05
0,2020-05-01,Apertura 30%,2.6751558278269708e-05
0,2020-05-02,Apertura 30%,2.6751558278269708e-05
0,2020-05-03,Apertura 30%,2.6751558278269708e-05
0,2020-05-04,Apertura 30%,2.6751558278269708e-05
0,2020-05-05,Apertura 30%,2.6751558278269708e-05
0,2020-05-06,Apertura 30%,2.6751558278269708e-05
0,2020-05-07,Apertura 30%,2.6751558278269708e-05
0,2020-05-08,Apertura 30%,2.6751558278269708e-05
0,2020-05-09,Apertura 30%,2.6751558278269708e-05
0,2020-05-10,Apertura 30%,2.6751558278269708e-05
0,2020-05-11,Apertura 30%,2.6751558278269708e-05
0,2020-05-12,Apertura 30%,2.6751558278269708e-05
0,2020-05-13,Apertura 30%,2.6751558278269708e-05
0,2020-05-14,Apertura 30%,2.6751558278269708e-05
0,2020-05-15,Apertura 30%,2.6751558278269708e-05
0,2020-05-16,Apertura 30%,2.6751558278269708e-05
0,2020-05-17,Apertura 30%,2.6751558278269708e-05
0,2020-05-18,Apertura 30%,2.6751558278269708e-05
0,2020-05-19,Apertura 30%,2.6751558278269708e-05
0,2020-05-20,Apertura 30%,2.6751558278269708e-05
0,2020-05-21,Apertura 30%,2.6751558278269708e-05
0,2020-05-22,Apertura 30%,2.6751558278269708e-05
0,2020-05-23,Apertura 30%,2.6751558278269708e-05
0,2020-05-24,Apertura 30%,2.6751558278269708e-05
0,2020-05-25,Apertura 30%,2.6751558278269708e-05
0,2020-05-26,Apertura 30%,2.6751558278269708e-05
0,2020-05-27,Apertura 30%,2.6751558278269708e-05
0,2020-05-28,Apertura 30%,2.6751558278269708e-05
0,2020-05-29,Apertura 30%,2.6751558278269708e-05
0,2020-05-30,Apertura 30%,2.6751558278269708e-05
0,2020-05-31,Apertura 30%,5.3503116556539417e-05
0,2020-06-01,Apertura 30%,5.3503116556539417e-05
0,2020-06-02,Apertura 30%,5.3503116556539417e-05
0,2020-06-03,Apertura 30%,5.3503116556539417e-05
0,2020-06-04,Apertura 30%,5.3503116556539417e-05
0,2020-06-05,Apertura 30%,5.3503116556539417e-05
0,2020-06-06,Apertura 30%,5.3503116556539417e-05
0,2020-06-07,Apertura 30%,5.3503116556539417e-05
0,2020-06-08,Apertura 30%,5.3503116556539417e-05
0,2020-06-09,Apertura 30%,5.3503116556539417e-05
0,2020-06-10,Apertura 30%,5.3503116556539417e-05
0,2020-06-11,Apertura 30%,5.3503116556539417e-05
0,2020-06-12,Apertura 30%,5.3503116556539417e-05
